usa30idxusd,US30
usatechidxusd,USTECH100
indidxusd,NIFTY50
gbridxgbp,FTSE100
gbpusd,GBPUSD
eurusd,EURUSD
usdchf,USDCHF
usdjpy,USDJPY
xauusd,GOLD
usdcad,USDCAD
bagbgbx,BAE
barcgbgbx,BARCLAYS
blndgbgbx,BRITISHLAND
bpgbgbx,BP
cnagbgbx,Centrica
ezjgbgbx,Easyjet
glengbgbx,Glencore
hsbagbgbx,HSBC
iaggbgbx,IAG
itvgbgbx,ITV
lgengbgbx,Legal & General Group PLC
lloygbgbx,LloydsBank
pfcgbgbx,Petrofac
smtgbgbx,SMIT
tlwgbgbx,TullowOil
tscogbgbx,TESCO
aaplususd,Apple
amznususd,Amazon
axpususd,Amex
bacususd,BOA
clususd,COLPAL
crmususd,SALESFORCE
expeususd,EXPEDIA
googlususd,GOOGLE
jpmususd,JPMORGAN
koususd,COCACOLA
msftususd,Microsoft
nflxususd,Netflix
nvdaususd,NVIDIA
rokuususd,ROKU
sbuxususd,STARBUCKS
tslaususd,TESLA
